             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       12256064_14      t4v1      mlp    mskrt  R    1:03:55      1 gpu020
       12256071_15      t4v1      mlp    mskrt  R       2:28      1 gpu023
       12256071_18      t4v1      mlp    mskrt  R       2:28      1 gpu023
       12256071_13      t4v1      mlp    mskrt  R       3:36      1 gpu023
        12256072_6      t4v1      mlp    mskrt  R      50:27      1 gpu025
       12256072_16      t4v1      mlp    mskrt  R      33:34      1 gpu021
       12256072_29      t4v1      mlp    mskrt  R      33:34      1 gpu021
          12257492 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257491 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257490 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257489 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257488 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257487 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257486 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257485 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257484 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257483 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257482 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257481 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257480 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257479 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257478 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257477 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257476 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257475 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257474 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257473 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257472 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257471 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257470 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257469 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257468 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257467 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257466 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257465 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257464 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257463 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257462 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257461 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257460 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257459 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257458 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257457 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257456 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257455 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257454 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257453 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257452 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257451 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257450 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257449 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257448 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257447 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257446 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257445 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257444 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257443 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257442 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257441 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257440 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257439 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257438 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257437 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257436 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257435 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257434 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257433 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257432 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257431 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257430 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257429 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257428 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257427 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257426 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257425 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257424 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257423 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257422 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257421 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257420 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257419 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257418 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257417 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257416 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257415 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257414 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257413 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257412 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257411 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257410 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257409 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257408 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257407 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257406 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257405 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257404 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
          12257403 t4v1,t4v2 CRBM_rel  roeland PD       0:00      1 (Resources)
